Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process,Direction
HA+P2 / SHAM,A0A5G2R327,A0A5G2R327,1.968508504799828,1.968508504799828,0.0024844096292663,0.0092744635622381,106,A0A5G2R327,MYLPF,"Myosin light chain, phosphorylatable, fast skeletal muscle",A0A5G2R327_PIG,22,291.36330837557074,3.913633083755708,HA+P2,SHAM,,,,Upregulated
VetricynVF / SHAM,A0A287B1R0,A0A287B1R0,1.8917012423038717,1.8917012423038717,0.0116351172228303,0.027089414706373,82,A0A287B1R0,TNNC2,"Troponin C, skeletal muscle",A0A287B1R0_PIG,8,271.07253979646725,3.710725397964673,VetricynVF,SHAM,,,,Upregulated
HA+EMD / SHAM,A0A287B1R0,A0A287B1R0,1.884362271225695,1.884362271225695,0.0040049577981926,0.012930358104855,112,A0A287B1R0,TNNC2,"Troponin C, skeletal muscle",A0A287B1R0_PIG,8,269.18969164167834,3.691896916416784,HA+EMD,SHAM,,,,Upregulated
EMD / SHAM,Q75NG9,Q75NG9,1.8770283238567789,1.8770283238567789,3.384689628985909e-06,9.408602914094808e-05,104,Q75NG9,TNNT3,"Troponin T, fast skeletal muscle",TNNT3_PIG,2,267.317676251131,3.67317676251131,EMD,SHAM,troponin complex,"actin binding,tropomyosin binding,troponin C binding,troponin I binding,calcium-dependent protein binding","skeletal muscle contraction,regulation of striated muscle contraction",Upregulated
HA+EMD / SHAM,A0A5G2QZN6;Q5XLD3,A0A5G2QZN6;Q5XLD3,1.6584516131861238,1.6584516131861238,0.0004761106531777,0.0029712692106809,112,A0A5G2QZN6;Q5XLD3,CKM,Creatine kinase M-type,A0A5G2QZN6_PIG;KCRM_PIG,46,215.67753880695167,3.1567753880695166,HA+EMD,SHAM,extracellular space;,"creatine kinase activity,ATP binding;",phosphocreatine biosynthetic process;,Upregulated
HA+EMD / SHAM,Q9TV61,Q9TV61,1.6317224882911794,1.6317224882911794,0.0004867338595773,0.0030184763978264,112,Q9TV61,MYH1,Myosin-1,MYH1_PIG,61,209.8827587002873,3.098827587002873,HA+EMD,SHAM,"cytoplasm,myosin filament,myofibril,myosin II complex","microfilament motor activity,calmodulin binding,ATP binding,actin filament binding",muscle contraction,Upregulated
HA+EMD / SHAM,A0A5G2QM05,A0A5G2QM05,1.5731785477109512,1.5731785477109512,0.0002461603014055,0.0018821428566064,112,A0A5G2QM05,ENSSSCG00000042430,Uncharacterized protein,A0A5G2QM05_PIG,32,197.55957613446893,2.9755957613446893,HA+EMD,SHAM,,,,Upregulated
HA+EMD / SHAM,A0A5G2QRY9,A0A5G2QRY9,1.5544262017681754,1.5544262017681754,0.0003035226747611,0.0021837865171124,112,A0A5G2QRY9,MYH8,Myosin heavy chain 8,A0A5G2QRY9_PIG,205,193.716884395957,2.93716884395957,HA+EMD,SHAM,,,,Upregulated
VetricynVF / SHAM,A0A5G2QRY9,A0A5G2QRY9,1.5449982716537078,1.5449982716537078,0.0050129879598368,0.015104974598829,82,A0A5G2QRY9,MYH8,Myosin heavy chain 8,A0A5G2QRY9_PIG,205,191.80371926744877,2.9180371926744875,VetricynVF,SHAM,,,,Upregulated
HA+EMD / SHAM,A0A286ZK06,A0A286ZK06,1.513151234941509,1.513151234941509,0.0003648566243829,0.0024809307676066,112,A0A286ZK06,MYOM2,Uncharacterized protein,A0A286ZK06_PIG,60,185.43282094800972,2.854328209480097,HA+EMD,SHAM,,,,Upregulated
HA+EMD / SHAM,F1RJW7,F1RJW7,1.513025005906386,1.513025005906386,0.0005150781882386,0.0031345421137404,112,F1RJW7,CASQ1,Calsequestrin,F1RJW7_PIG,14,185.4078480102914,2.8540784801029138,HA+EMD,SHAM,"Z disc,sarcoplasmic reticulum lumen,mitochondrial matrix,sarcoplasmic reticulum membrane","calcium ion binding,identical protein binding","endoplasmic reticulum organization,response to heat,regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion,sarcomere organization,protein polymerization,positive regulation of release of sequestered calcium ion into cytosol,regulation of store-operated calcium entry",Upregulated
VetricynVF / SHAM,A0A5G2QZN6;Q5XLD3,A0A5G2QZN6;Q5XLD3,1.4946979015456172,1.4946979015456172,0.0016707797570494,0.0070619573240673,82,A0A5G2QZN6;Q5XLD3,CKM,Creatine kinase M-type,A0A5G2QZN6_PIG;KCRM_PIG,46,181.8051352230149,2.818051352230149,VetricynVF,SHAM,extracellular space;,"creatine kinase activity,ATP binding;",phosphocreatine biosynthetic process;,Upregulated
VetricynVF / SHAM,Q9TV62,Q9TV62,1.4594394178431864,1.4594394178431864,0.0122423218768935,0.02810731716072,82,Q9TV62,MYH4,Myosin-4,MYH4_PIG,150,175.00148665335092,2.750014866533509,VetricynVF,SHAM,"cytoplasm,myosin filament,myofibril,myosin II complex","microfilament motor activity,double-stranded RNA binding,calmodulin binding,ATP binding,actin filament binding",muscle contraction,Upregulated
VetricynVF / SHAM,A0A5G2RET9,A0A5G2RET9,1.4253277174217465,1.4253277174217465,0.0155080932845952,0.0331672583637621,82,A0A5G2RET9,ACTN3,Actinin alpha 3 (gene/pseudogene),A0A5G2RET9_PIG,63,168.57550227340377,2.6857550227340377,VetricynVF,SHAM,,,,Upregulated
HA+EMD / SHAM,A0A287B5C0,A0A287B5C0,1.4196253384286526,1.4196253384286526,0.0002864179706098,0.0020941205547393,112,A0A287B5C0,APOBEC2,CMP/dCMP-type deaminase domain-containing protein,A0A287B5C0_PIG,10,167.51602919667857,2.6751602919667854,HA+EMD,SHAM,,,,Upregulated
VetricynVF / SHAM,A0A5G2QM05,A0A5G2QM05,1.4179104464232384,1.4179104464232384,0.0055645330668089,0.0162685700568181,82,A0A5G2QM05,ENSSSCG00000042430,Uncharacterized protein,A0A5G2QM05_PIG,32,167.19822915132477,2.671982291513248,VetricynVF,SHAM,,,,Upregulated
HA+EMD / SHAM,P63317,P63317,1.40930576215045,1.40930576215045,0.0037320891288184,0.0123379303297559,112,P63317,TNNC1,"Troponin C, slow skeletal and cardiac muscles",TNNC1_PIG,12,165.60931846517346,2.6560931846517346,HA+EMD,SHAM,cardiac Troponin complex,"calcium ion binding,troponin I binding,troponin T binding,protein homodimerization activity,calcium-dependent protein binding,actin filament binding","skeletal muscle contraction,transition between fast and slow fiber,regulation of muscle filament sliding speed,ventricular cardiac muscle tissue morphogenesis,cardiac muscle contraction",Upregulated
VetricynVF / SHAM,A0A286ZK06,A0A286ZK06,1.3996884402931065,1.3996884402931065,0.0064363529138177,0.0179811466426922,82,A0A286ZK06,MYOM2,Uncharacterized protein,A0A286ZK06_PIG,60,163.8445969846061,2.638445969846061,VetricynVF,SHAM,,,,Upregulated
HA+P6 / SHAM,A0A5G2R327,A0A5G2R327,1.369242748756724,1.369242748756724,0.0004641261123475,0.0029178129356383,106,A0A5G2R327,MYLPF,"Myosin light chain, phosphorylatable, fast skeletal muscle",A0A5G2R327_PIG,22,158.3349339989384,2.583349339989384,HA+P6,SHAM,,,,Upregulated
VetricynVF / SHAM,F1RJW7,F1RJW7,1.350622771621382,1.350622771621382,0.0086620349329559,0.0220927016487265,82,F1RJW7,CASQ1,Calsequestrin,F1RJW7_PIG,14,155.022187744897,2.55022187744897,VetricynVF,SHAM,"Z disc,sarcoplasmic reticulum lumen,mitochondrial matrix,sarcoplasmic reticulum membrane","calcium ion binding,identical protein binding","endoplasmic reticulum organization,response to heat,regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion,sarcomere organization,protein polymerization,positive regulation of release of sequestered calcium ion into cytosol,regulation of store-operated calcium entry",Upregulated
HA+EMD / SHAM,P79293,P79293,1.34809131323995,1.34809131323995,0.0057410907758035,0.0166094516278812,112,P79293,MYH7,Myosin-7,MYH7_PIG,204,154.5750994981093,2.545750994981093,HA+EMD,SHAM,"cytoplasm,myosin filament,myofibril,sarcomere,myosin II complex","microfilament motor activity,calmodulin binding,ATP binding,actin filament binding","adult heart development,muscle filament sliding,cardiac muscle contraction",Upregulated
HA+P2 / SHAM,A0A287B1R0,A0A287B1R0,1.342914029821509,1.342914029821509,0.0101359132560806,0.0246173726657689,106,A0A287B1R0,TNNC2,"Troponin C, skeletal muscle",A0A287B1R0_PIG,8,153.66316363020894,2.536631636302089,HA+P2,SHAM,,,,Upregulated
HA+EMD / SHAM,Q9TV63,Q9TV63,1.2755792846154386,1.2755792846154386,0.0011860967888704,0.0055710223595257,112,Q9TV63,MYH2,Myosin-2,MYH2_PIG,52,142.09600701854222,2.4209600701854224,HA+EMD,SHAM,"cytoplasm,myosin filament,myofibril,myosin II complex","microfilament motor activity,calmodulin binding,ATP binding,actin filament binding",muscle contraction,Upregulated
HA+EMD / SHAM,A0A287ADN4,A0A287ADN4,1.263312673542316,1.263312673542316,0.0003301621534832,0.002308649354007,112,A0A287ADN4,TCAP,Uncharacterized protein,A0A287ADN4_PIG,9,140.0462957792572,2.400462957792572,HA+EMD,SHAM,,,,Upregulated
VetricynVF / SHAM,B5KJG2,B5KJG2,1.2610491705781814,1.2610491705781814,0.0058245595327704,0.0167710350073698,82,B5KJG2,PGAM2,Phosphoglycerate mutase,B5KJG2_PIG,19,139.66997266797608,2.3966997266797607,VetricynVF,SHAM,,"bisphosphoglycerate mutase activity,phosphoglycerate mutase activity,hydrolase activity,identical protein binding","glycolytic process,striated muscle contraction",Upregulated
HA+EMD / SHAM,P02189,P02189,1.243977007611185,1.243977007611185,0.0071935724719141,0.0193850202094359,112,P02189,MB,Myoglobin,MYG_PIG,21,136.85054762753902,2.36850547627539,HA+EMD,SHAM,,,,Upregulated
HA+EMD / SHAM,A0A5G2RET9,A0A5G2RET9,1.2355386607487646,1.2355386607487646,0.0012320129340934,0.0057204094152039,112,A0A5G2RET9,ACTN3,Actinin alpha 3 (gene/pseudogene),A0A5G2RET9_PIG,63,135.46924846386275,2.3546924846386275,HA+EMD,SHAM,,,,Upregulated
HA+EMD / SHAM,A0A5G2QLU2,A0A5G2QLU2,1.214735082984321,1.214735082984321,0.0012539007840313,0.0057850146606457,112,A0A5G2QLU2,ACTN2,Uncharacterized protein,A0A5G2QLU2_PIG,60,132.09815959484098,2.32098159594841,HA+EMD,SHAM,,,,Upregulated
HA+EMD / SHAM,A0A287AIE4,A0A287AIE4,1.197222879421191,1.197222879421191,0.0024650779243483,0.009232858580841,112,A0A287AIE4,KLHL41,BTB domain-containing protein,A0A287AIE4_PIG,32,129.29785823263958,2.292978582326396,HA+EMD,SHAM,"cytoplasm,cytoskeleton,M band,sarcoplasmic reticulum membrane,nucleoplasm,cytosol,plasma membrane,Cul3-RING ubiquitin ligase complex","protein binding, bridging involved in substrate recognition for ubiquitination","protein ubiquitination,myofibril assembly,skeletal muscle cell differentiation,proteasome-mediated ubiquitin-dependent protein catabolic process,regulation of myoblast differentiation,regulation of myoblast proliferation,regulation of skeletal muscle cell differentiation",Upregulated
VetricynVF / SHAM,F1RL74,F1RL74,1.1828352784240836,1.1828352784240836,0.021792354741287,0.0418028780233484,82,F1RL74,CAMK2A,Protein kinase domain-containing protein,F1RL74_PIG,3,127.02249836144397,2.2702249836144395,VetricynVF,SHAM,"dendritic spine,calcium- and calmodulin-dependent protein kinase complex","calmodulin-dependent protein kinase activity,calmodulin binding,ATP binding,protein homodimerization activity","cellular response to interferon-beta,angiotensin-activated signaling pathway,positive regulation of JAK-STAT cascade,dendritic spine development,cellular response to interferon-gamma,regulation of neuron migration",Upregulated
VetricynVF / SHAM,F1SD76,F1SD76,1.1816537175552015,1.1816537175552015,0.0038173082441246,0.0125330588202295,82,F1SD76,ZSWIM4,SWIM-type domain-containing protein,F1SD76_PIG,2,126.83664405492392,2.268366440549239,VetricynVF,SHAM,Cul2-RING ubiquitin ligase complex,zinc ion binding,,Upregulated
VetricynVF / SHAM,F1SRF1,F1SRF1,1.1780668739754088,1.1780668739754088,0.0059046380851897,0.0169289565424611,82,F1SRF1,KLHL40,BTB domain-containing protein,F1SRF1_PIG,20,126.27338089095277,2.262733808909528,VetricynVF,SHAM,"cytoplasm,A band,I band,Cul3-RING ubiquitin ligase complex","protein binding, bridging involved in substrate recognition for ubiquitination","negative regulation of protein ubiquitination,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,proteasome-mediated ubiquitin-dependent protein catabolic process,skeletal muscle fiber development",Upregulated
HA+EMD / SHAM,A0A480QW05,A0A480QW05,1.1690838067545963,1.1690838067545963,0.0005540367706459,0.0033010138006523,112,A0A480QW05,TRIM72,Tripartite motif containing 72,A0A480QW05_PIG,27,124.86884710111848,2.2486884710111847,HA+EMD,SHAM,"cytoplasm,sarcolemma,cytoplasmic vesicle membrane","phosphatidylserine binding,zinc ion binding,ubiquitin conjugating enzyme binding,identical protein binding,ubiquitin protein ligase activity","plasma membrane repair,muscle system process,muscle organ development,negative regulation of myotube differentiation,proteasome-mediated ubiquitin-dependent protein catabolic process,negative regulation of insulin-like growth factor receptor signaling pathway,innate immune response,negative regulation of insulin receptor signaling pathway,protein homooligomerization",Upregulated
HA+EMD / SHAM,A0A287B5J2,A0A287B5J2,1.1360366263245958,1.1360366263245958,0.0010203753434768,0.0050044155196885,112,A0A287B5J2,MYBPC1,"Myosin binding protein C, slow type",A0A287B5J2_PIG,95,119.77642300390316,2.197764230039032,HA+EMD,SHAM,,,,Upregulated
EMD / SHAM,A0A5G2R327,A0A5G2R327,1.1332956284518587,1.1332956284518587,0.0002417778068009,0.0018589869937087,104,A0A5G2R327,MYLPF,"Myosin light chain, phosphorylatable, fast skeletal muscle",A0A5G2R327_PIG,22,119.35926290259044,2.1935926290259045,EMD,SHAM,,,,Upregulated
HA / SHAM,A0A5G2R327,A0A5G2R327,1.130707554373103,1.130707554373103,6.282428711129318e-05,0.0007353096139364,108,A0A5G2R327,MYLPF,"Myosin light chain, phosphorylatable, fast skeletal muscle",A0A5G2R327_PIG,22,118.9661035090619,2.189661035090619,HA,SHAM,,,,Upregulated
HA+EMD / SHAM,Q9TV62,Q9TV62,1.130253215964764,1.130253215964764,0.0019449686711844,0.0078409575767475,112,Q9TV62,MYH4,Myosin-4,MYH4_PIG,150,118.89715681919148,2.188971568191915,HA+EMD,SHAM,"cytoplasm,myosin filament,myofibril,myosin II complex","microfilament motor activity,double-stranded RNA binding,calmodulin binding,ATP binding,actin filament binding",muscle contraction,Upregulated
EMD / SHAM,A0A287ASL1,A0A287ASL1,1.1235528920158395,1.1235528920158395,3.947023967423076e-06,0.0001037074647028,104,A0A287ASL1,RAD51AP2,RAD51_interact domain-containing protein,A0A287ASL1_PIG,2,117.88288753557444,2.1788288753557445,EMD,SHAM,macromolecular complex,,,Upregulated
HA+EMD / SHAM,B5KJG2,B5KJG2,1.1157573105693237,1.1157573105693237,0.0006747127585566,0.003777673668387,112,B5KJG2,PGAM2,Phosphoglycerate mutase,B5KJG2_PIG,19,116.70873566859903,2.1670873566859905,HA+EMD,SHAM,,"bisphosphoglycerate mutase activity,phosphoglycerate mutase activity,hydrolase activity,identical protein binding","glycolytic process,striated muscle contraction",Upregulated
HA+EMD / SHAM,F1SRF1,F1SRF1,1.103636657937258,1.103636657937258,0.0003739646453874,0.0025204447534248,112,F1SRF1,KLHL40,BTB domain-containing protein,F1SRF1_PIG,20,114.89570637343714,2.148957063734372,HA+EMD,SHAM,"cytoplasm,A band,I band,Cul3-RING ubiquitin ligase complex","protein binding, bridging involved in substrate recognition for ubiquitination","negative regulation of protein ubiquitination,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,proteasome-mediated ubiquitin-dependent protein catabolic process,skeletal muscle fiber development",Upregulated
HA+EMD / SHAM,A0A287AVB7,A0A287AVB7,1.0948920943469704,1.0948920943469704,0.0009405942961918,0.0047424695329945,112,A0A287AVB7,TNNI2,Uncharacterized protein,A0A287AVB7_PIG,14,113.59710512360051,2.1359710512360053,HA+EMD,SHAM,,,,Upregulated
HA+EMD / SHAM,A0A5S6I3K1,A0A5S6I3K1,1.0931382986075289,1.0931382986075289,0.000545517740695,0.0032662797147643,112,A0A5S6I3K1,TNNT3,"Troponin T, fast skeletal muscle",A0A5S6I3K1_PIG,22,113.33760600425563,2.1333760600425564,HA+EMD,SHAM,,,,Upregulated
VetricynVF / SHAM,Q9TV61,Q9TV61,1.085340407680765,1.085340407680765,0.0007661111866373,0.0041185323547214,82,Q9TV61,MYH1,Myosin-1,MYH1_PIG,61,112.18760859054136,2.1218760859054138,VetricynVF,SHAM,"cytoplasm,myosin filament,myofibril,myosin II complex","microfilament motor activity,calmodulin binding,ATP binding,actin filament binding",muscle contraction,Upregulated
HA+P2/P6 / SHAM,A0A287ASL1,A0A287ASL1,1.084501738905164,1.084501738905164,1.5259262513209766e-05,0.0002702439475489,112,A0A287ASL1,RAD51AP2,RAD51_interact domain-containing protein,A0A287ASL1_PIG,2,112.06429534529,2.1206429534529,HA+P2/P6,SHAM,macromolecular complex,,,Upregulated
HA+EMD / SHAM,Q1KYT0,Q1KYT0,1.0837911718087732,1.0837911718087732,0.0003951165903255,0.002612982552733,112,Q1KYT0,ENO3,Beta-enolase,ENOB_PIG,53,111.95987354863152,2.1195987354863157,HA+EMD,SHAM,phosphopyruvate hydratase complex,"magnesium ion binding,phosphopyruvate hydratase activity",glycolytic process,Upregulated
HA+EMD / SHAM,A0A287AL21,A0A287AL21,1.0802980024292608,1.0802980024292608,0.0005408456073748,0.0032487773615525,112,A0A287AL21,ATP2A1,Calcium-transporting ATPase,A0A287AL21_PIG,54,111.44728005536506,2.1144728005536506,HA+EMD,SHAM,,,,Upregulated
HA+EMD / SHAM,F1RL74,F1RL74,1.0795786323508274,1.0795786323508274,0.0005297311512161,0.0032015024484411,112,F1RL74,CAMK2A,Protein kinase domain-containing protein,F1RL74_PIG,3,111.34187251914756,2.113418725191476,HA+EMD,SHAM,"dendritic spine,calcium- and calmodulin-dependent protein kinase complex","calmodulin-dependent protein kinase activity,calmodulin binding,ATP binding,protein homodimerization activity","cellular response to interferon-beta,angiotensin-activated signaling pathway,positive regulation of JAK-STAT cascade,dendritic spine development,cellular response to interferon-gamma,regulation of neuron migration",Upregulated
HA+EMD / SHAM,Q7M2W6,Q7M2W6,1.0663188902345686,1.0663188902345686,0.0084177233401656,0.0216885499050057,112,Q7M2W6,CRYAB,Alpha-crystallin B chain,CRYAB_PIG,17,109.40833845214644,2.0940833845214644,HA+EMD,SHAM,"nucleus,cytoplasm,extracellular region,lysosome,macromolecular complex","structural constituent of eye lens,protein homodimerization activity,metal ion binding,unfolded protein binding","response to heat,protein refolding,negative regulation of apoptotic process,negative regulation of transcription, DNA-templated",Upregulated
HA+P2 / SHAM,A0A5G2QM05,A0A5G2QM05,1.056117772305913,1.056117772305913,0.0172288652473524,0.0355968473762784,106,A0A5G2QM05,ENSSSCG00000042430,Uncharacterized protein,A0A5G2QM05_PIG,32,107.9328606381074,2.079328606381074,HA+P2,SHAM,,,,Upregulated
VetricynVF / SHAM,A0A287AIE4,A0A287AIE4,1.053755957873658,1.053755957873658,0.0118249027263639,0.0273999690558498,82,A0A287AIE4,KLHL41,BTB domain-containing protein,A0A287AIE4_PIG,32,107.59273535085627,2.075927353508563,VetricynVF,SHAM,"cytoplasm,cytoskeleton,M band,sarcoplasmic reticulum membrane,nucleoplasm,cytosol,plasma membrane,Cul3-RING ubiquitin ligase complex","protein binding, bridging involved in substrate recognition for ubiquitination","protein ubiquitination,myofibril assembly,skeletal muscle cell differentiation,proteasome-mediated ubiquitin-dependent protein catabolic process,regulation of myoblast differentiation,regulation of myoblast proliferation,regulation of skeletal muscle cell differentiation",Upregulated
VetricynVF / SHAM,A0A5S6I3K1,A0A5S6I3K1,1.0532837882031625,1.0532837882031625,0.0111088267647479,0.0262433254714753,82,A0A5S6I3K1,TNNT3,"Troponin T, fast skeletal muscle",A0A5S6I3K1_PIG,22,107.52480487875982,2.075248048787598,VetricynVF,SHAM,,,,Upregulated
HA+EMD / SHAM,A0A286ZV66,A0A286ZV66,1.046840073861073,1.046840073861073,0.0006433690252916,0.0036632360405082,112,A0A286ZV66,ENSSSCG00000038561,Uncharacterized protein,A0A286ZV66_PIG,25,106.59997417428282,2.065999741742828,HA+EMD,SHAM,,,,Upregulated
VetricynVF / SHAM,Q1KYT0,Q1KYT0,1.0349381111674083,1.0349381111674083,0.0016687767882041,0.0070555915480759,82,Q1KYT0,ENO3,Beta-enolase,ENOB_PIG,53,104.90257449307548,2.0490257449307547,VetricynVF,SHAM,phosphopyruvate hydratase complex,"magnesium ion binding,phosphopyruvate hydratase activity",glycolytic process,Upregulated
VetricynVF / SHAM,P02587,P02587,1.0305490774668242,1.0305490774668242,0.0124837055156267,0.0284834142176634,82,P02587,TNNC2,"Troponin C, skeletal muscle",TNNC2_PIG,5,104.28015763955192,2.042801576395519,VetricynVF,SHAM,troponin complex,calcium ion binding,skeletal muscle contraction,Upregulated
VetricynVF / SHAM,A0A287AVB7,A0A287AVB7,1.0210083665740055,1.0210083665740055,0.0064891454349408,0.0180748200180438,82,A0A287AVB7,TNNI2,Uncharacterized protein,A0A287AVB7_PIG,14,102.93368617943015,2.029336861794301,VetricynVF,SHAM,,,,Upregulated
VetricynVF / SHAM,I3LIE7,I3LIE7,1.0201984260825152,1.0201984260825152,0.0055173244847553,0.0161724749447326,82,I3LIE7,MYBPH,Myosin-binding protein H,I3LIE7_PIG,20,102.81978956523838,2.028197895652384,VetricynVF,SHAM,M band,,sarcomere organization,Upregulated
HA+P2 / SHAM,F1RJW7,F1RJW7,1.009351975433849,1.009351975433849,0.0207230224366811,0.0404074450837356,106,F1RJW7,CASQ1,Calsequestrin,F1RJW7_PIG,14,101.30067019060048,2.0130067019060047,HA+P2,SHAM,"Z disc,sarcoplasmic reticulum lumen,mitochondrial matrix,sarcoplasmic reticulum membrane","calcium ion binding,identical protein binding","endoplasmic reticulum organization,response to heat,regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion,sarcomere organization,protein polymerization,positive regulation of release of sequestered calcium ion into cytosol,regulation of store-operated calcium entry",Upregulated
HA+P2 / SHAM,A0A5G2QRY9,A0A5G2QRY9,1.0029484097759287,1.0029484097759287,0.0119198801390733,0.0275593772903542,106,A0A5G2QRY9,MYH8,Myosin heavy chain 8,A0A5G2QRY9_PIG,205,100.40915433291372,2.004091543329137,HA+P2,SHAM,,,,Upregulated
HA+P2 / SHAM,Q8MHY0,Q8MHY0,0.9925548533646412,0.9925548533646412,0.0058771477287036,0.0168739443529717,106,Q8MHY0,MYL2,MYL2,Q8MHY0_PIG,17,98.9705421059892,1.989705421059892,HA+P2,SHAM,"cytoplasm,myofibril,actin cytoskeleton,cardiac myofibril","actin monomer binding,calcium ion binding,structural constituent of muscle","heart development,negative regulation of cell growth,muscle cell fate specification,ventricular cardiac muscle tissue morphogenesis,cardiac muscle contraction",Upregulated
HA+EMD / SHAM,A0A287BNL5,A0A287BNL5,0.9852798882695698,0.9852798882695698,0.0002529854564127,0.0019203785438945,112,A0A287BNL5,ENSSSCG00000034677,Uncharacterized protein,A0A287BNL5_PIG,29,97.96973443156398,1.97969734431564,HA+EMD,SHAM,,,,Upregulated
